ko, ko, , , Korean, Korean, , , 
yy. M. d, yyyy. M. d, yyyy'년' M'월' d'일' '('EE')'
a h:mm, a h:mm:ss, a h'시' mm'분' ss'초'
#,##0, #,##0.###, #,##0%, ¤ #,##0.00

ro, ro, , , 루마니아어, 루마니아어, , 
ar-LB, ar, LB, , 아랍어 (레바논), 아랍어, 레바논, 
de-DE, de, DE, , 독일어 (독일), 독일어, 독일, 
th-TH-u-nu-thai-x-lvariant-TH, th, TH, TH, 태국어 (태국,TH), 태국어, 태국, TH
tr, tr, , , 터키어, 터키어, , 
es-CO, es, CO, , 스페인어 (콜롬비아), 스페인어, 콜롬비아, 
en-PH, en, PH, , 영어 (필리핀), 영어, 필리핀, 
et-EE, et, EE, , 에스토니아어 (에스토니아), 에스토니아어, 에스토니아, 
el-CY, el, CY, , 그리스어 (사이프러스), 그리스어, 사이프러스, 
hu, hu, , , 헝가리어, 헝가리어, , 
fr-FR, fr, FR, , 프랑스어 (프랑스), 프랑스어, 프랑스, 

XDR, 960, 특별인출권, XDR, -1
SDG, 938, 수단 파운드, SDG, 2
GBP, 826, 영국령 파운드 스털링, GBP, 2
UGX, 800, 우간다 실링, UGX, 2
SYP, 760, 시리아 파운드, SYP, 2
GEL, 981, 그루지야 라리, GEL, 2
YUM, 891, 유고슬라비아 노비 디나르, YUM, 2
TMT, 934, Turkmenistani Manat, TMT, 2
KMF, 174, 코모르 프랑, KMF, 0
LYD, 434, 리비아 디나르, LYD, 3
PHP, 608, 필리핀 페소, PHP, 2
XAG, 961, 은화, XAG, -1
XCD, 951, 동카리브 달러, XCD, 2
YER, 886, 예멘 리알, YER, 2
GYD, 328, 가이아나 달러, GYD, 2
PLN, 985, 폴란드 즐로티, PLN, 2
HTG, 332, 하이티 구르드, HTG, 2
XSU, 994, XSU, XSU, -1
AYM, 945, AYM, AYM, 2
XBA, 955, 유르코 (유럽 회계 단위), XBA, -1
MMK, 104, 미얀마 키얏, MMK, 2
NLG, 528, 네델란드 길더, NLG, 2
LBP, 422, 레바논 파운드, LBP, 2
KWD, 414, 쿠웨이트 디나르, KWD, 3
BDT, 50, 방글라데시 타카, BDT, 2
IDR, 360, 인도네시아 루피아, IDR, 2
HKD, 344, 홍콩 달러, HKD, 2
NOK, 578, 노르웨이 크로네, NOK, 2
TPE, 626, 티모르 에스쿠도, TPE, 0
DOP, 214, 도미니카 페소, DOP, 2
BBD, 52, 바베이도스 달러, BBD, 2
MNT, 496, 몽골 투그릭, MNT, 2
JPY, 392, 일본 엔화, JPY, 0
SOS, 706, 소말리아 실링, SOS, 2
XAF, 950, CFA 프랑 BEAC, XAF, 0
GTQ, 320, 과테말라 케트살, GTQ, 2
TRL, 792, 터키 리라, TRL, 0
NIO, 558, 니카라과 코르도바 오로, NIO, 2
SVC, 222, 엘살바도르 콜론, SVC, 2
PEN, 604, 페루 솔 누에보, PEN, 2
SCR, 690, 세이쉴 루피, SCR, 2
COP, 170, 콜롬비아 페소, COP, 2
KGS, 417, 키르기스스탄 솜, KGS, 2
XAU, 959, 금, XAU, -1
ANG, 532, 네덜란드령 안틸레스 길더, ANG, 2
ALL, 8, 알바니아 레크, ALL, 2
LRD, 430, 라이베리아 달러, LRD, 2
AFN, 971, 아프가니, AFN, 2
PTE, 620, 포르투갈 에스쿠도, PTE, 0
SRD, 968, 수리남 달러, SRD, 2
GHC, 288, 가나 시디 (1979-2007), GHC, 2
PKR, 586, 파키스탄 루피, PKR, 2
LAK, 418, 라오스 키프, LAK, 2
