zh-TW | zh | TW |  | Chinese (Taiwan) | Chinese | Taiwan |  | TWD
上午 | 下午
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
一月 | 二月 | 三月 | 四月 | 五月 | 六月 | 七月 | 八月 | 九月 | 十月 | 十一月 | 十二月
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
星期日 | 星期一 | 星期二 | 星期三 | 星期四 | 星期五 | 星期六
yyyy/M/d | yyyy/M/d | yyyy'年'M'月'd'日'
a h:mm | a hh:mm:ss | ahh'時'mm'分'ss'秒'
#,##0 | #,##0.### | #,##0% | ¤#,##0.00

und |  |  |  |  |  |  | 
PEN | 604 | 秘魯新太陽幣 | PEN | 2
SVC | 222 | 萨尔瓦多科朗 | SVC | 2
XDR | 960 | 特殊提款權 | XDR | -1
ERN | 232 | 厄立特里亞納克法 | ERN | 2
AFN | 971 | 阿富汗尼 | AFN | 2
LYD | 434 | 利比亞第納爾 | LYD | 3
ZWD | 716 | 辛巴威元 | ZWD | 2
OMR | 512 | 阿曼里奧 | OMR | 3
XPF | 953 | CFP 法郎 | XPF | 0
XOF | 952 | 西非法郎 BCEAO | XOF | 0
TMT | 934 | 土庫曼新馬納特 | TMT | 2
SDD | 736 | 蘇丹第納爾 | SDD | 2
CRC | 188 | 哥斯大黎加科郎 | CRC | 2
UYU | 858 | 烏拉圭披索 | UYU | 2
MXN | 484 | 墨西哥披索 | MXN | 2
GMD | 270 | 甘比亞達拉西 | GMD | 2
SCR | 690 | 塞席爾盧比 | SCR | 2
ARS | 32 | 阿根廷披索 | ARS | 2
CHF | 756 | 瑞士法郎 | CHF | 2
DZD | 12 | 阿爾及利亞第納爾 | DZD | 2
XBA | 955 | 歐洲綜合單位 | XBA | -1
VEF | 937 | 委內瑞拉強勢玻利瓦 | VEF | 2
KES | 404 | 肯尼亞先令 | KES | 2
FRF | 250 | 法國法郎 | FRF | 2
XXX | 999 | XXX | XXX | -1
IDR | 360 | 印尼盾 | IDR | 2
XSU | 994 | Sucre | XSU | -1
AMD | 51 | 亞美尼亞德拉姆 | AMD | 2
JPY | 392 | 日圓 | JPY | 0
BYR | 974 | 白俄羅斯盧布 | BYR | 0
KYD | 136 | 開曼群島美元 | KYD | 2
TTD | 780 | 特立尼达和多巴哥元 | TTD | 2
ALL | 8 | 阿爾巴尼亞列克 | ALL | 2
ADP | 20 | 安道爾陪士特 | ADP | 0
GRD | 300 | 希臘德拉克馬 | GRD | 0
STD | 678 | 聖多美島和普林西比島多布拉 | STD | 2
CAD | 124 | 加幣 | CAD | 2
DKK | 208 | 丹麥克羅納 | DKK | 2
GIP | 292 | 直布羅陀鎊 | GIP | 2
LSL | 426 | 賴索托羅蒂 | LSL | 2
HNL | 340 | 洪都拉斯倫皮拉 | HNL | 2
IEP | 372 | 愛爾蘭鎊 | IEP | 2
THB | 764 | 泰銖 | THB | 2
XBC | 957 | 歐洲會計單位 (XBC) | XBC | -1
